publication_date,pos,neg
2019-01-01T18:20:00Z,55,30
2019-01-01T21:09:24Z,11,12
2019-01-03T00:00:00Z,4,1
2019-01-03T00:38:08Z,4,6
2019-01-03T04:37:47Z,27,12
2019-01-03T05:14:01Z,4,1
2019-01-03T06:54:21Z,6,4
2019-01-03T07:19:58Z,8,4
2019-01-03T08:22:00Z,6,8
2019-01-03T10:42:00Z,88,62
2019-01-03T14:35:00Z,6,2
2019-01-03T15:54:38Z,16,21
2019-01-03T16:03:05Z,10,5
2019-01-03T16:22:26Z,10,3
2019-01-04T00:00:00Z,8,1
2019-01-04T09:36:17Z,8,5
2019-01-04T12:52:34Z,12,5
2019-01-06T22:23:00Z,9,3
2019-01-07T06:00:01Z,9,2
2019-01-07T09:41:00Z,15,13
2019-01-07T15:03:07Z,2,1
2019-01-07T16:24:38Z,10,3
2019-01-07T22:00:25Z,3,1
2019-01-08T09:35:32Z,14,3
2019-01-09T04:49:00Z,87,43
2019-01-09T13:50:50Z,19,6
2019-01-09T15:00:00Z,2,6
2019-01-09T20:26:05Z,13,6
2019-01-10T04:00:02Z,16,28
2019-01-10T09:40:55Z,11,10
2019-01-10T12:09:23Z,10,11
2019-01-10T12:13:00Z,79,133
2019-01-10T13:00:38Z,1,12
2019-01-10T13:18:00Z,7,7
2019-01-10T14:00:00Z,21,4
2019-01-10T14:13:03Z,1,1
2019-01-10T22:12:00Z,114,105
2019-01-11T05:45:15Z,15,11
2019-01-11T06:16:00Z,10,10
2019-01-11T12:32:42Z,7,1
2019-01-11T13:09:38Z,415,192
2019-01-11T17:10:10Z,12,4
2019-01-11T19:07:00Z,12,6
2019-01-12T05:16:00Z,135,31
2019-01-12T05:36:00Z,135,33
2019-01-12T07:04:33Z,6,3
2019-01-12T07:46:43Z,27,4
2019-01-13T06:07:00Z,131,36
2019-01-13T20:54:00Z,16,1
2019-01-14T17:50:00Z,21,13
2019-01-15T20:23:00Z,22,1
2019-01-16T11:52:30Z,5,1
2019-01-16T15:20:03Z,26,15
2019-01-17T11:30:27Z,11,2
2019-01-17T15:00:00Z,21,14
2019-01-17T21:10:00Z,139,35
2019-01-18T07:13:17Z,0,0
2019-01-18T12:00:00Z,205,90
2019-01-18T17:49:15Z,45,19
2019-01-19T22:40:00Z,112,73
2019-01-20T00:00:00Z,15,14
2019-01-20T01:37:18Z,15,15
2019-01-20T19:00:50Z,4,8
2019-01-21T00:15:27Z,0,3
2019-01-21T08:10:43Z,6,3
2019-01-21T08:31:19Z,8,5
2019-01-21T09:50:41Z,50,39
2019-01-21T11:03:57Z,27,46
2019-01-21T13:41:48Z,13,9
2019-01-21T13:53:00Z,5,2
2019-01-21T19:01:00Z,15,4
2019-01-21T23:01:00Z,3,2
2019-01-21T23:05:27Z,6,4
2019-01-21T23:06:02Z,11,4
2019-01-21T23:06:17Z,9,3
2019-01-21T23:10:12Z,5,3
2019-01-21T23:51:28Z,5,2
2019-01-21T23:55:00Z,4,6
2019-01-21T23:55:10Z,5,4
2019-01-22T00:00:00Z,7,4
2019-01-22T00:13:20Z,7,3
2019-01-22T00:13:57Z,3,2
2019-01-22T01:25:00Z,5,5
2019-01-22T02:00:03Z,2,1
2019-01-22T02:12:30Z,4,3
2019-01-22T05:14:26Z,2,0
2019-01-22T06:26:00Z,4,3
2019-01-22T06:42:00Z,2,1
2019-01-22T07:08:46Z,6,3
2019-01-22T08:15:03Z,5,2
2019-01-22T08:30:05Z,12,0
2019-01-22T08:45:31Z,9,12
2019-01-22T08:50:39Z,21,20
2019-01-22T08:52:22Z,6,2
2019-01-22T09:11:00Z,6,2
2019-01-22T09:21:47Z,2,0
2019-01-22T09:34:43Z,10,5
2019-01-22T09:38:56Z,8,1
2019-01-22T10:49:09Z,12,10
2019-01-22T10:57:00Z,1,1
2019-01-22T11:00:00Z,10,6
2019-01-22T13:21:00Z,18,5
2019-01-22T15:56:02Z,4,1
2019-01-22T16:26:29Z,9,2
2019-01-22T18:44:49Z,1,3
2019-01-23T00:00:00Z,7,1
2019-01-23T01:58:59Z,4,0
2019-01-23T09:13:10Z,2,1
2019-01-23T12:00:00Z,33,33
2019-01-23T14:58:16Z,3,1
2019-01-23T20:46:45Z,4,4
2019-01-24T00:00:00Z,34,17
2019-01-24T07:02:14Z,12,1
2019-01-24T08:03:48Z,9,8
2019-01-24T10:30:00Z,31,13
2019-01-24T13:26:22Z,16,0
2019-01-24T15:14:17Z,3,0
2019-01-24T15:23:00Z,3,4
2019-01-24T15:23:34Z,1,0
2019-01-24T15:24:21Z,4,0
2019-01-24T15:24:36Z,6,1
2019-01-24T15:24:47Z,2,0
2019-01-24T15:24:52Z,8,1
2019-01-24T15:25:49Z,3,8
2019-01-24T15:35:30Z,3,0
2019-01-24T15:36:15Z,7,4
2019-01-24T15:37:30Z,6,3
2019-01-24T15:45:45Z,1,0
2019-01-24T16:06:00Z,4,8
2019-01-24T16:16:32Z,12,1
2019-01-24T16:16:58Z,9,1
2019-01-24T16:20:20Z,13,11
2019-01-24T16:23:17Z,8,1
2019-01-24T16:40:19Z,16,4
2019-01-24T17:10:00Z,11,4
2019-01-24T17:10:44Z,14,11
2019-01-24T17:17:03Z,5,2
2019-01-24T17:27:19Z,15,6
2019-01-24T17:41:44Z,15,5
2019-01-24T17:41:49Z,16,4
2019-01-24T17:43:38Z,12,4
2019-01-24T17:45:26Z,18,14
2019-01-24T17:51:16Z,16,4
2019-01-24T18:35:07Z,17,4
2019-01-24T18:39:17Z,12,11
2019-01-24T19:16:16Z,6,1
2019-01-25T00:00:00Z,11,4
2019-01-25T09:11:00Z,9,4
2019-01-25T10:34:54Z,14,0
2019-01-25T15:37:25Z,5,4
2019-01-25T15:42:48Z,20,19
2019-01-26T00:00:00Z,8,8
2019-01-26T14:38:00Z,7,5
2019-01-26T21:43:52Z,13,9
2019-01-27T12:35:19Z,37,26
2019-01-27T16:51:00Z,8,4
2019-01-27T17:02:35Z,17,13
2019-01-27T17:03:15Z,65,49
2019-01-27T18:04:15Z,34,20
2019-01-27T18:05:34Z,37,21
